Country,Zone
U.A.E.,A
BANGLADESH,B
BHUTAN,B
MALDIVES,B
NEPAL,B
PAKISTAN,B
SINGAPORE,B
SRI LANKA,B
AFGHANISTAN,C
IRAQ REPUBLIC,C
JORDAN,C
LEBANON,C
MYANMAR,C
PALESTINE AUTHORITY,C
SAUDI ARABIA,C
SYRIA,C
TURKMENISTAN,C
YEMEN,C
EGYPT,C
IRAN,C
CHINA,D
THAILAND,D
HONG KONG,D
AMERICAN SAMOA,E
AUSTRALIA,E
BRUNEI,E
CAMBODIA,E
COOK ISLANDS,E
LAOS,E
MACAU,E
MALAYSIA,E
MARSHALL ISLANDS,E
MICRONESIA,E
MONGOLIA,E
NEW CALEDONIA,E
NEW ZEALAND,E
PALAU,E
PAPUA NEW GUINEA,E
PHILIPPINES,E
SAIPAN,E
SAMOA,E
SOLOMON ISLANDS,E
SOUTH KOREA,E
TAIWAN,E
TONGA,E
TUVALU,E
VANUATU,E
VIETNAM,E
EAST TIMOR,E
FIJI,E
FRENCH POLYNESIA,E
GUAM,E
INDONESIA,E
BELGIUM,F
ITALY,F
LIECHTENSTEIN,F
LUXEMBOURG,F
NETHERLANDS,F
SPAIN,F
SWITZERLAND,F
UNITED KINGDOM,F
DENMARK,F
FAROE ISLANDS,F
FRANCE,F
GERMANY,F
GREENLAND,F
MEXICO,G
REST OF COUNTRY,G
U.S.A.,G
JAPAN,H
ALBANIA,I
ANDORRA,I
ARMENIA,I
AUSTRIA,I
AZERBAIJAN,I
BELARUS,I
BOSNIA,I
BULGARIA,I
IRELAND,I
ISRAEL,I
KAZAKHSTAN,I
KIRIBATI,I
KYRGYZSTAN,I
LATVIA,I
LITHUANIA,I
MACEDONIA,I
MALTA,I
MOLDOVA,I
MONACO,I
MONTENEGRO,I
NORWAY,I
POLAND,I
PORTUGAL,I
ROMANIA,I
RUSSIA,I
SERBIA,I
SLOVAK REPUBLIC,I
SLOVENIA,I
SWEDEN,I
TURKEY,I
UKRAINE,I
UZBEKISTAN,I
CROATIA,I
CYPRUS,I
CZECH REPUBLIC,I
ESTONIA,I
FINLAND,I
GEORGIA,I
GIBRALTAR,I
GREECE,I
HUNGARY,I
ICELAND,I
ANGUILLA,J
ANTIGUA,J
ARGENTINA,J
ARUBA,J
BAHAMAS,J
BARBADOS,J
BELIZE,J
BERMUDA,J
BOLIVIA,J
BONAIRE,J
BRAZIL,J
BRITISH VIRGIN ISLANDS,J
CAYMAN ISLANDS,J
CHILE,J
COLOMBIA,J
JAMAICA,J
MARTINIQUE,J
MONTSERRAT,J
NICARAGUA,J
PANAMA,J
PARAGUAY,J
PERU,J
ST KITTS & NEVIS,J
ST MAARTEN,J
ST MARTIN,J
ST. LUCIA,J
ST. VINCENT,J
SURINAME,J
TRINIDAD & TOBAGO,J
TURKS & CAICOS ISLANDS,J
ARE,J
BQN,J
FAJ,J
MAZ,J
NRR,J
PSE,J
SIG,J
URUGUAY,J
VENEZUELA,J
VIRGIN ISLANDS,J
COSTA RICA,J
CURACAO,J
DOMINICA,J
DOMINICAN REPUBLIC,J
ECUADOR,J
EL SALVADOR,J
FRENCH GUIANA,J
GRENADA,J
GUADELOUPE,J
GUATEMALA,J
GUYANA,J
HAITI,J
HONDURAS,J
SOUTH AFRICA,K
CANADA,L
BAHRAIN,M
KUWAIT,M
OMAN,M
QATAR,M
CENTRAL AFRICAN REPUBLIC,N
CHAD,N
KENYA,N
MAURITIUS,N
SUDAN,N
TANZANIA,N
UGANDA,N
DEMOCRATIC REPUBLIC OF CONGO,N
DJIBOUTI,N
ERITREA,N
ETHIOPIA,N
ALGERIA,O
ANGOLA,O
IVORY COAST,O
LIBYA,O
MOROCCO,O
NIGERIA,O
SEYCHELLES,O
GHANA,O
BOTSWANA,P
LESOTHO,P
NAMIBIA,P
RWANDA,P
SWAZILAND,P
ZAMBIA,P
ZIMBABWE,P
BENIN,Q
BURKINA FASO,Q
BURUNDI,Q
CAMEROON,Q
CAPE VERDE,Q
CONGO,Q
LIBERIA,Q
MADAGASCAR,Q
MALAWI,Q
MALI,Q
MAURITANIA,Q
MOZAMBIQUE,Q
NIGER,Q
REUNION ISLAND,Q
SENEGAL,Q
SIERRA LEONE,Q
TOGO,Q
TUNISIA,Q
EQUATORIAL GUINEA,Q
GABON,Q
GAMBIA,Q
GUINEA,Q
GUINEA BISSAU,Q
