WEIGHT_KG,Local,Town,RURAL
1.0,981,1273,1684
2.0,1436,1728,2138
3.0,1890,2182,2592
4.0,2344,2636,3046
5.0,2798,3091,3501
6 PKG,543,611,673
7 PKG,531,589,643
8 PKG,523,574,620
9 PKG,516,561,603
10 PKG,511,552,598
11 PKG,507,548,596
12 PKG,503,546,594
13 PKG,500,544,593
14 PKG,497,542,592
15 PKG,495,540,591
16 PKG,495,540,591
17 PKG,495,540,591
18 PKG,495,540,591
19 PKG,495,540,591
20 PKG,495,540,591
20+ PKG,492,532,585
25+ PKG,501,545,590
31+ PKG,501,545,590
51+ PKG,501,545,590
70 PKG,501,545,590
